NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS,normalized_name_nmr,matched_name,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK,NAME,% WOMEN,% MINORITIES,U.S. JOB OPENINGS,FULLY PAID MATERNAL LEAVE (DAYS),FULLY PAID PATERNAL LEAVE (DAYS),FULLY PAID ADOPTIVE LEAVE (DAYS),PAID DAYS OFF FOR VOLUNTEERING,normalized_name_f100,JUST_CAPITALS_JUST_100_RANK,Company,Industry,normalized_name_jc100,POINTS_OF_LIGHT_CIVIC_50,normalized_name_c50
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,15.0,The Hershey Company,"Food, Beverage & Tobacco",the hershey,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,21.0,M&T Bank Corp,Banks,mt bank,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,22.0,Nasdaq Inc,Capital Markets,nasdaq,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,26.0,Ecolab Inc,Chemicals,ecolab,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,27.0,S&P Global Inc,Commercial Support Services,sp global,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,28.0,Organon & Co,Pharmaceuticals & Biotech,organon,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,36.0,Intel Corp,Semiconductors & Equipment,intel,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,38.0,Duke Energy Corporation,Utilities,duke energy,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,41.0,Merck & Co Inc,Pharmaceuticals & Biotech,merck co,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,43.0,NVIDIA Corp,Semiconductors & Equipment,nvidia,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,46.0,Visa Inc,Transaction Processing,visa,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,47.0,Truist Financial Corporation,Banks,truist financial,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,51.0,Equinix Inc,Real Estate,equinix,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,52.0,Lear Corporation,Automobiles & Parts,lear,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,58.0,PG&E Corporation,Utilities,pge,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,63.0,PPL Corp,Utilities,ppl,,
