STANDARDIZED_COMPANY_x,STANDARDIZED_COMPANY_y,match,COMPANY,NAME,NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK
tyler technologies,,,Tyler Technologies,,556,
louisianapacific,,,Louisiana-Pacific,,557,
snapon,,,Snap-on,,558,
quaker houghton,,,Quaker Houghton,,559,
flowers foods,,,Flowers Foods,,560,
paramount global,,,Paramount Global,,561,
akamai,,,Akamai,,562,
old dominion freight line,,,Old Dominion Freight Line,,563,
dollar general,,,Dollar General,,564,
constellation energy,,,Constellation Energy,,565,
choice hotels,,,Choice Hotels,,566,
teledyne technologies,,,Teledyne Technologies,,567,
avanos medical,,,Avanos Medical,,568,
cno financial group,,,"CNO Financial Group, Inc.",,569,
the childrens place,,,The Children's Place,,570,
the hanover,,,The Hanover,,571,
tronox,,,Tronox,,572,
arrow electronics,,,Arrow Electronics,,573,
fastenal,,,Fastenal,,574,
integra,,,Integra,,575,
western union,,,Western Union,,576,
american airlines,,,American Airlines,,577,
ameriprise financial,,,Ameriprise Financial,,578,
frontdoor,,,Frontdoor,,579,
universal display,,,Universal Display,,580,
graphic packaging holding,,,Graphic Packaging Holding Company,,581,
nnn reit,,,NNN REIT,,582,
ufp industries,,,UFP Industries,,583,
yeti,,,YETI,,584,
boyd,,,Boyd,,585,
crane,,,Crane,,586,
piedmont,,,Piedmont,,587,
bellring,,,BellRing,,588,
applied industrial technologies,,,Applied Industrial Technologies,,589,
paccar,,,PACCAR,,590,
expeditors international of washington,,,Expeditors International of Washington,,591,
rogers,,,Rogers Corporation,,592,
expro,,,Expro,,593,
sjw group,,,SJW Group,,594,
ally financial,ally financial,ally financial,Ally Financial,Ally Financial,595,66.0
lkq,,,LKQ,,596,
fossil,,,Fossil,,597,
okta,,,Okta,,598,
spectrum brands,,,Spectrum Brands,,599,
modine manufacturing,,,Modine Manufacturing,,600,
forward,,,Forward,,601,
