matched_name,HQ CITY,HQ STATE,INDUSTRY,NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK,JUST_CAPITALS_JUST_100_RANK,POINTS_OF_LIGHT_CIVIC_50
,Houston,TX,Energy & Utilities,486,41.0,89.0,
,Houston,TX,Energy & Utilities,486,41.0,90.0,
,Houston,TX,Energy & Utilities,486,41.0,94.0,
,Houston,TX,Energy & Utilities,486,41.0,95.0,
,Houston,TX,Energy & Utilities,486,41.0,97.0,
,Houston,TX,Energy & Utilities,486,41.0,100.0,
,Houston,TX,Energy & Utilities,486,91.0,2.0,
,Houston,TX,Energy & Utilities,486,91.0,3.0,
,Houston,TX,Energy & Utilities,486,91.0,12.0,
,Houston,TX,Energy & Utilities,486,91.0,15.0,
,Houston,TX,Energy & Utilities,486,91.0,21.0,
,Houston,TX,Energy & Utilities,486,91.0,22.0,
,Houston,TX,Energy & Utilities,486,91.0,26.0,
,Houston,TX,Energy & Utilities,486,91.0,27.0,
,Houston,TX,Energy & Utilities,486,91.0,28.0,
,Houston,TX,Energy & Utilities,486,91.0,36.0,
,Houston,TX,Energy & Utilities,486,91.0,38.0,
,Houston,TX,Energy & Utilities,486,91.0,41.0,
,Houston,TX,Energy & Utilities,486,91.0,43.0,
