RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS
149,Hess,New York City,NY,Energy & Utilities,7,81.35,87.68,72.05,84.41
150,Wolfspeed,Durham,NC,Technology,29,81.31,82.44,73.87,87.71
151,Hormel Foods,Austin,MN,Retail & Consumer Goods,22,81.22,90.11,73.08,80.56
152,Dropbox,San Francisco,CA,Technology,30,81.14,87.91,67.95,87.64
153,Alnylam,Cambridge,MA,"Health Care, Life Sciences & Pharmaceuticals",14,81.09,88.75,77.58,77.03
154,AdvanSix,Parsippany,NJ,Materials & Chemicals,12,81.06,73.22,79.97,90.07
*,Dayforce,Minneapolis,MN,Software,*,81.03,92.0,69.9,81.3
155,Leslie's,Phoenix,AZ,Retail & Consumer Goods,23,80.99,86.54,84.18,72.35
156,Iron Mountain,Boston,MA,Software,9,80.98,94.79,77.6,70.66
157,Deckers Outdoor,Goleta,CA,Retail & Consumer Goods,24,80.94,87.1,75.48,80.35
158,Wesco,Pittsburgh,PA,Capital Goods,15,80.94,79.95,79.51,83.45
159,Walt Disney,Burbank,CA,Media & Telecommunications,6,80.92,86.38,77.68,78.78
160,Healthpeak Properties,Denver,CO,Real Estate & Housing,12,80.91,90.59,73.75,78.49
161,NOV,Houston,TX,Energy & Utilities,8,80.88,81.0,76.15,85.56
162,Talos Energy,Houston,TX,Energy & Utilities,9,80.88,83.71,72.91,86.09
163,Hudson Pacific Properties,Los Angeles,CA,Real Estate & Housing,13,80.83,85.97,83.77,72.84
164,Air Products and Chemicals,Allentown,PA,Materials & Chemicals,13,80.76,75.73,89.41,77.22
165,"Essential Utilities, Inc.",Bryn Mawr,PA,Energy & Utilities,10,80.7,82.44,82.49,77.24
166,Workday,Pleasanton,CA,Technology,31,80.65,82.9,76.97,82.15
167,Molson Coors Beverage,Chicago,IL,Retail & Consumer Goods,25,80.57,81.68,80.95,79.17
168,Terex,Norwalk,CT,Capital Goods,16,80.53,73.46,83.0,85.19
169,Williams-Sonoma,San Francisco,CA,Retail & Consumer Goods,26,80.49,81.72,78.05,81.78
170,Ribbon,Plano,TX,Media & Telecommunications,7,80.46,87.17,71.74,82.56
171,CSX,Jacksonville,FL,Transport & Logistics,1,80.37,83.71,78.01,79.47
172,Equity Residential,Chicago,IL,Real Estate & Housing,14,80.36,85.86,78.13,77.18
173,Marriott International,Bethesda,MD,"Hotels, Dining & Leisure",2,80.31,78.44,82.13,80.43
174,Sealed Air,Charlotte,NC,Materials & Chemicals,14,80.26,83.65,73.84,83.38
175,Mattel,El Segundo,CA,Retail & Consumer Goods,27,80.23,82.69,87.84,70.25
176,ServiceNow,Santa Clara,CA,Software,10,80.2,73.78,79.53,87.35
177,LPL Financial,San Diego,CA,Financial,20,80.1,88.93,77.16,74.29
178,Invesco,Atlanta,GA,Financial,21,80.08,88.86,73.75,77.72
179,Dolby,San Francisco,CA,Technology,32,80.07,78.74,76.33,85.23
180,Mettler-Toledo,Columbus,OH,Capital Goods,17,80.04,82.86,71.54,85.8
181,Hilton,McLean,VA,"Hotels, Dining & Leisure",3,80.02,79.4,83.37,77.38
182,Howmet Aerospace,Pittsburgh,PA,Capital Goods,18,80.01,80.29,72.37,87.44
183,Macerich,Santa Monica,CA,Real Estate & Housing,15,79.97,96.56,71.32,72.14
184,Cirrus Logic,Austin,TX,Technology,33,79.9,74.44,70.11,95.24
185,Qurate Retail Group,West Chester,PA,Retail & Consumer Goods,28,79.89,87.55,83.04,69.18
186,Bath & Body Works,Columbus,OH,Retail & Consumer Goods,29,79.88,72.42,87.54,79.75
187,Empire State Realty Trust,New York City,NY,Real Estate & Housing,16,79.88,93.83,60.58,85.31
188,Snap,Santa Monica,CA,Media & Telecommunications,8,79.84,72.03,86.43,81.14
189,Mueller Water Products,Atlanta,GA,Capital Goods,19,79.83,85.78,69.79,84.0
190,McCormick & Company,Hunt Valley,MD,Retail & Consumer Goods,30,79.82,91.63,79.34,68.58
191,Onsemi,Phoenix,AZ,Technology,34,79.78,90.7,63.56,85.17
192,Ball,Westminster,CO,Materials & Chemicals,15,79.78,88.44,83.67,67.3
