RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS
305,Quest Diagnostics,Secaucus,New Jersey,Health Care & Life Sciences,30,74.78,77.92,72.99,73.51
306,SLB,Houston,Texas,Energy & Utilities,17,74.77,72.75,73.97,77.67
307,PPG Industries,Pittsburgh,Pennsylvania,Materials & Chemicals,28,74.76,83.99,64.3,76.06
308,VMware,Palo Alto,California,Software & Telecommunications,32,74.7,96.88,40.28,87.04
309,Assurant,New York,New York,Financial,30,74.62,69.16,83.62,71.15
310,NOV,Houston,Texas,Energy & Utilities,18,74.61,70.16,83.4,70.35
311,Petco,San Diego,California,Retail,10,74.56,80.77,68.34,74.65
312,Tractor Supply Co.,Brentwood,Tennessee,Retail,11,74.55,75.56,76.84,71.34
313,Packaging Corporation of America,Lake Forest,Illinois,Materials & Chemicals,29,74.53,69.69,67.97,86.01
314,Bunge,Chesterfield,Missouri,Consumer Goods,31,74.52,81.51,76.48,65.65
315,Ingevity,North Charleston,South Carolina,Materials & Chemicals,30,74.47,68.06,78.37,77.06
316,Kimberly-Clark,Dallas,Texas,Consumer Goods,32,74.45,77.62,66.03,79.78
317,Mattel,El Segundo,California,Consumer Goods,33,74.44,89.4,66.25,67.77
318,DICK'S Sporting Goods,Coraopolis,Pennsylvania,Retail,12,74.36,76.39,66.53,80.24
319,Murphy Oil,Houston,Texas,Energy & Utilities,19,74.36,63.87,80.65,78.61
320,Equitrans Midstream,Canonsburg,Pennsylvania,Energy & Utilities,20,74.33,68.6,82.86,71.6
321,Intuit,Mountain View,California,Software & Telecommunications,33,74.23,75.24,71.02,76.51
322,UDR,Highlands Ranch,Colorado,Real Estate & Housing,26,74.21,78.42,62.71,81.6
323,Burlington,Burlington,New Jersey,Retail,13,74.19,80.04,67.03,75.59
324,Dominion Energy,Richmond,Virginia,Energy & Utilities,21,74.16,63.39,79.3,79.85
325,DXC Technology,Tysons,Virginia,Professional Services,12,74.14,82.98,45.23,94.3
326,Corporate Office Properties Trust,Columbia,Maryland,Real Estate & Housing,27,74.14,77.47,78.32,66.71
**,Compass Minerals,Overland Park,Kansas,Materials & Chemicals,**,74.14,71.49,79.53,71.46
327,Matson,Honolulu,Hawaii,Transport & Logistics,6,74.12,54.26,74.6,93.56
328,TJX Companies,Framingham,Massachusetts,Retail,14,74.1,74.2,67.65,80.51
329,Terex,Norwalk,Connecticut,Capital Goods,34,74.07,68.11,73.66,80.5
330,Mid-America Apartment Communities,Memphis,Tennessee,Real Estate & Housing,28,74.04,83.01,54.23,84.96
331,FedEx,Memphis,Tennessee,Transport & Logistics,7,74.01,70.13,81.81,70.17
332,Gartner,Stamford,Connecticut,Professional Services,13,73.96,67.18,72.82,81.95
333,Host Hotels & Resorts,Bethesda,Maryland,"Hotels, Dining & Leisure",6,73.95,87.22,65.71,69.01
334,Weatherford International,Houston,Texas,Energy & Utilities,22,73.95,77.76,72.42,71.74
335,Kelly Services,Troy,Michigan,Professional Services,14,73.91,68.7,80.37,72.74
336,Coty,New York,New York,Consumer Goods,34,73.81,92.53,62,66.99
337,ArcBest,Fort Smith,Arizona,Transport & Logistics,8,73.77,73.7,67.55,80.14
